Close,Volume,forward_return,tail_event,log_return_1d,vol_10,vol_20,vol_60,drawdown_20,mom_10,mom_50,volume_ratio_20
129.24000549316406,91726500,-0.0066542910383662335,0,-0.01314436418907722,0.0076269655340576925,0.006728207182811929,0.00564424872597763,-0.025486274683065413,-0.016962011917802444,-0.0009276060344877157,1.3451455886398684
129.5,84029300,-0.02625483803767492,0,0.002009697679705136,0.0073428825389880385,0.00673842655290681,0.005567685860403739,-0.023525827417129386,-0.006901794007742157,0.005747169344005876,1.2145798787693773
129.30999755859375,62137600,-0.013920001982427155,0,-0.0014682777120910212,0.006757153336925412,0.005683794618026835,0.005559548179916673,-0.024958510635360254,-0.015755877966857623,0.008894432440778921,0.918324081016042
126.8499984741211,144789500,0.014820632842195147,0,-0.01920732941121256,0.008773811275768833,0.007012004507078231,0.006083933650894564,-0.043507742840495855,-0.030865619484805706,-0.008752072641231123,2.0525826743646935
126.20999908447266,87906300,0.022106021200903436,0,-0.0050580949997496094,0.00845835174428376,0.007016391258711115,0.0060590062249191185,-0.04833355654289351,-0.039205248949070626,-0.01582974361927658,1.2445113232857925
127.0999984741211,124309400,0.00015739002911963063,0,0.007026987173527589,0.008175465259188615,0.007286061869402645,0.006132407876913761,-0.04162265756523931,-0.04089952930575158,-0.002198137740102357,1.6974382023208356
126.12999725341797,110852800,0.00539126551956981,0,-0.0076610668667681575,0.00816985073726749,0.007412648252620843,0.006194515947822115,-0.048936797637752494,-0.04706862593083394,-0.019130563453852334,1.455738237955121
125.16999816894531,92006500,0.005512522581289314,0,-0.00764030061190927,0.007841674702418908,0.007510093867300084,0.006262928343663504,-0.05617551819134903,-0.05617551819134903,-0.028409559963439524,1.202209190788749
126.16999816894531,168405000,-0.003328827574229809,0,0.00795739071566077,0.00886556184025967,0.007824937500557985,0.006244960007837043,-0.048635177090323056,-0.04813281581231843,-0.030803462378608315,2.0640822117675666
127.7300033569336,78977900,-0.018633091836392723,0,0.01228849790911609,0.009956915143149624,0.00831289842165343,0.006345020771034652,-0.036872205853521134,-0.024589489624664118,-0.023172157213144695,0.9957713893706458
128.3800048828125,62989700,-0.034195410905695556,0,0.005075966581524039,0.009444459398582794,0.008372121725977922,0.006381655857838986,-0.03197097263220683,-0.0066542910383662335,-0.020224329704436217,0.790632113322384
126.0999984741211,72419900,-0.028152224150040928,0,-0.017919423047363086,0.010819317598205754,0.00905580649776974,0.0067598007523032725,-0.04916299866626539,-0.02625483803767492,-0.03460417096946933,0.9047790565722569
127.51000213623047,86926200,-0.03144853006861548,0,0.01111957877855785,0.011672113494104928,0.009282835967710134,0.006895552939368908,-0.03853109010026479,-0.013920001982427155,-0.022237569545606073,1.060920917904528
128.72999572753906,73721700,-0.02027494032145516,0,0.00952234483333901,0.010251848398894108,0.00958292198049991,0.007002985583885684,-0.029331922280732226,0.014820632842195147,-0.006636319427845483,0.8927340907149258
129.0,91702600,-0.03372091840403946,0,0.0020952498794478327,0.009991910295172995,0.009552538857488992,0.00700292532762494,-0.027295997967642482,0.022106021200903436,-0.010584482521325822,1.0786162510396973
127.12000274658203,86105100,-0.02713974593372548,0,-0.014680860526997005,0.011118052838935797,0.009738407345386987,0.007206611490230899,-0.041471818527406,0.00015739002911963063,-0.022980538388619798,0.9989617677861221
126.80999755859375,130498600,-0.021449422546091612,0,-0.0024416598403413097,0.010836569480931953,0.00973650014356329,0.007104055817333227,-0.04380936338792529,0.00539126551956981,-0.02611173473590911,1.4306125987236058
125.86000061035156,108599400,-0.006753523518187476,0,-0.00751970104609803,0.010826519454115406,0.009756972548755058,0.00716018842663712,-0.05047153743779209,0.005512522581289314,-0.031995104794735774,1.1412840178211539
125.75,204957200,-0.010258456584710474,0,-0.0008743739683871811,0.010510716691369219,0.009753377134746196,0.007018155104221096,-0.039709790526360034,-0.003328827574229809,-0.02685343745490676,2.005758119352948
